Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 16 Oct 2020 17:10:00 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1953-0012-CHL,1953,0012,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Chile,CHL,South America,Americas,"Chillan, Concepcion",,Tsunami/Tidal wave,,,,,,8,Richter,-37.093,-72.866,13:16,,1953,5,6,1953,5,6,12,40,,,40,,,500000,"10,48862697"
1953-0030-CAN,1953,0030,Natural,Biological,Epidemic,Viral disease,,Polio,Kill,Canada,CAN,Northern America,Americas,Nationwide,,,,,,,,,Vaccinated,,,,,1953,1,,1953,1,,481,,8000,,8000,,,,"10,48862697"
1953-0021-CHL,1953,0021,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Chile,CHL,South America,Americas,,,,,,,,,7,Richter,-22.1,-68.7,22:05,,1953,12,6,1953,12,6,3,15,,,15,,,7310,"10,48862697"
1953-0039-ECU,1953,0039,Natural,Hydrological,Flood,,,,Kill,Ecuador,ECU,South America,Americas,,,,,,,,,,Km2,,,,,1953,3,,1953,3,,71,,,,,,,,"10,48862697"
1954-0027-ANT,1954,0027,Natural,Meteorological,Storm,Tropical cyclone,,Alice,OFDA,Netherlands Antilles,ANT,Caribbean,Americas,Saint martin/Saba,,,,,,,,,Kph,,,,,1954,12,30,1954,12,30,,,,,,,,,"10,5277636377"
1954-0032-CAN,1954,0032,Natural,Meteorological,Storm,Tropical cyclone,,Hazel,Kill,Canada,CAN,Northern America,Americas,"Toronto, Ontario",,,,,No,No,,249,Kph,,,,,1954,10,5,1954,10,18,83,,,,,,,100000,"10,5277636377"
1954-0012-COL,1954,0012,Natural,Hydrological,Landslide,Landslide,,,Kill,Colombia,COL,South America,Americas,Medellin,,,,,,,,,,,,,,1954,7,12,1954,7,12,140,,,,,,,,"10,5277636377"
1954-0064-COL,1954,0064,Natural,Hydrological,Landslide,Landslide,,,Kill,Colombia,COL,South America,Americas,,,,,,,,,,,,,,,1954,12,,1954,12,,47,,,,,,,,"10,5277636377"
1954-0024-HTI,1954,0024,Natural,Hydrological,Landslide,Landslide,,,Kill,Haiti,HTI,Caribbean,Americas,Berly,,,,,,,,,,,,,,1954,10,22,1954,10,22,262,,,,,,,,"10,5277636377"
1954-0022-HTI,1954,0022,Natural,Meteorological,Storm,Tropical cyclone,,Hazel,Kill,Haiti,HTI,Caribbean,Americas,Southwestern,,,,,No,No,,249,Kph,,,,,1954,10,5,1954,10,18,410,,250000,,250000,,,,"10,5277636377"
